Designator,Mid X,Mid Y,Rotation,Layer
BT1,147.0,-101.087049,90.0,top
BT2,169.044322,-101.087049,90.0,top
D1,158.554322,-69.587049,180.0,top
D2,80.824322,-85.007049,180.0,top
D3,80.824322,-77.537049,180.0,top
Q1,137.044322,-121.447049,0.0,top
Q2,181.044322,-121.447049,0.0,top
Q3,98.544322,-78.447049,0.0,top
R1,129.544322,-120.087049,270.0,top
R2,189.044322,-120.277049,270.0,top
R3,160.0,-81.5,180.0,top
R4,113.5,-84.5,270.0,top
R5,95.544322,-91.537049,0.0,top
R6,95.544322,-95.587049,0.0,top
R7,123.544322,-100.087049,0.0,top
RV1,110.374322,-100.587049,0.0,top
SW1,147.044322,-121.087049,0.0,top
SW2,170.044322,-121.087049,0.0,top
